Lp;Nazwa_funduszu;Forma_prawna;Rok_uruchomienia;Jak_czesto_wycena_SFIO;Udzial_akcji;Oplata_za_zarzadzanie;TER;Oplaty_biezace;Typ;Pierwsza_wplata;Nastepna_wplata;Benchmark;Benchmark_2;Benchmark_3;Benchmark_4;Benchmark_5;Benchmark_6;Benchmark_7;Benchmark_8;Aktywa;Oplata_za_nabycie;Oplata_za_umorzenie;Oplata_za_wynik;Oplata_za_wynik_2;Polityka_inwestycyjna_(min._akcji);Inne;Inne_2;Inne_3;Nazwa_IZFiA;TFI
1;AGIO Agresywny (AGIO SFIO);SFIO;2011;tygodniowo;94.5;3.95;6.01;5.11;akcji;100;100;100%WIG;;;;;;;;30.1;4;0;10%;ponad max;;;;;AGIO Agresywny Spó³ek Wzrostowych;Agio
2;AGIO Akcji PLUS (AGIO PLUS FIO);FIO;2016;;47.52;4;2.27;3.9;akcji;100;100;nie ma;;;;;;;;13.4;4;0;10%;ponad max;;;;;AGIO AKCJI PLUS;Agio
184;AGIO Globalny (AGIO SFIO);SFIO;2009;tygodniowo;84.02;4;6.55;5.29;absolutnej stopy zwrotu;100;100;nie ma;;;;;;;;28.1;4;0;20%;ponad 3% w skali 6mcy;;;;;Agio Globalny;Agio
185;AGIO Kapita³ (AGIO SFIO);SFIO;2009;tygodniowo;;1.5;1.61;1.59;d³u¿ne;160000;5000;nie ma;;;;;;;;334.4;1;0;20%;ponad 3% w skali 6mcy;;;;;Agio Kapita³;Agio
186;AGIO Kapita³ PLUS FIO;FIO;2012;codziennie;;1.6;1.9;1.8;d³u¿ne;100;100;nie ma;;;;;;;;132.8;1;0;10%;ponad max;;;;;AGIO Kapita³ PLUS;Agio
3;Alior Agresywny (Alior SFIO);SFIO;2010;codziennie;92.43;3.5;7.35;6.65;akcji;200;100;90%WIG;10% WIBID3M;;;;;;;4.9;4;0;10%;ponad 20%;;;;;Alior Agresywny;Alior
187;Alior Multi Asset (Alior SFIO);SFIO;2009;codziennie;35.57;3.5;7.53;6.75;mieszane;200;100;nie ma;;;;;;;;3.8;4;0;;;;;;;Alior Multi Asset;Alior
188;Alior Papierów D³u¿nych (Alior SFIO);SFIO;2013;codziennie;;1.5;2.86;2.38;d³u¿ne;200;100;nie ma;;;;;;;;17;1;0;20%;ponad 3.5%;;;;;Alior Papierów D³u¿nych;Alior
189;Alior Pieniê¿ny (Alior SFIO);SFIO;2016;codziennie;;0.6;0;1.22;pieniê¿ne;200;100;nie ma;;;;;;;;7.6;0;0;20%;pomad 2.5%;;;;;Alior Pieniê¿ny;Alior
4;Alior Stabilnych Spó³ek (Alior SFIO);SFIO;2009;;93.11;4;5.96;5.28;akcji;200;100;90%WIG;10% WIBID3M;;;;;;;9.9;4;0;;;;;;;Alior Stabilnych Spó³ek;Alior
