Lp;Nazwa funduszu;Forma prawna;Zarz¹dzaj¹cy;Zarz¹dzaj¹cy od;;;;;;;;;;;Rok uruchomienia;Pierwsza wp³ata;Nastêpna wp³ata;Jak czêsto wycena SFIO;Aktywa;Typ;Benchmark;Benchmark_2;Benchmark_3;Benchmark_4;Benchmark_5;Benchmark_6;Benchmark_7;Benchmark_8;Polityka inwestycyjna (min. akcji);Udzia³ akcji;Op³ata za zarz¹dzanie;Op³ata za nabycie;Op³ata za umorzenie;Op³ata za wynik;Op³ata za wynik_2;TER;Op³aty bie¿¹ce;Inne;Inne_2;Inne_3;Nazwa IZFiA;TFI;
1;AGIO Agresywny (AGIO SFIO);SFIO;Jakub Bentke (od 06.18);;;;;;;;;;;;2011;100;100;tygodniowo;24.3;akcji;100%WIG;;;;;;;;;89.72;3.95;4;0;10%;ponad max;6.23;5.14;;;;AGIO Agresywny Spó³ek Wzrostowych;Agio;
2;AGIO Akcji PLUS (AGIO PLUS FIO);FIO;Wojciech Juroszek (od 06.18);;;;;;;;;;;;2016;100;100;codziennie;23.5;akcji;nie ma;;;;;;;;;92.97;4;4;0;10%;ponad max;5.88;5.11;;;;AGIO AKCJI PLUS;Agio;
184;AGIO Globalny (AGIO SFIO);SFIO;;;;;;;;;;;;;2009;100;100;tygodniowo;28.1;absolutnej stopy zwrotu;nie ma;;;;;;;;;84.02;4;4;0;20%;ponad 3% w skali 6mcy;6.55;5.29;;;;Agio Globalny;Agio;
185;AGIO Kapita³ (AGIO SFIO);SFIO;Zbigniew Kowalczyk (od 05.2015);;;;;;;;;;;;2009;167500;5000;tygodniowo;435.8;d³u¿ne;nie ma;;;;;;;;;;1.5;1;0;20%;ponad 3% w skali 6mcy;1.61;1.5;;;;Agio Kapita³;Agio;
186;AGIO Kapita³ PLUS FIO;FIO;Zbigniew Kowalczyk (od 04.2017);;;;;;;;;;;;2012;100;100;codziennie;124.4;d³u¿ne;nie ma;;;;;;;;;;1.3;1;0;10%;ponad max;2.06;1.75;;;;AGIO Kapita³ PLUS;Agio;
;AGIO Akcji Ma³ych i Œrednich Spó³ek;SFIO;Wojciech Juroszek (od 06.18);;;;;;;;;;;;2009;100;100;tygodniowo;;akcji;70%mWIG40;20%sWIG80;10%WIBID O/N;;;;;;;;4;4;0;20%;ponad 3% w skali 6mcy;NA;5.12;;;;;Agio;
;AGIO Pieniê¿ny PLUS;FIO;Zbigniew Kowalczyk (od 06.2018);;;;;;;;;;;;2016;100;100;codziennie;;pieniê¿ne;nie ma;;;;;;;;;;0.5;1;0;10%;ponad max;NA;3.49;;;;;Agio;
;AGIO Stabilny PLUS;FIO;Wojciech Juroszek (od 02.16), Zbigniew Kowalczyk (od 02.2016);;;;;;;;;;;;2016;100;100;codziennie;16.8;mieszane;nie ma;;;;;;;;;26.03;2.75;2;0;10%;ponad max;4.65;4.38;;;;;Agio;
;AGRO Obligacji;FIO;Adam Gospodarek;4.2017;;;;;;;;;;;2017;100;100;codziennie;0.2;d³u¿ne;nie ma;;;;;;;;10%;;0.05;1;0;0%;;0.5;1.36;;;;;Agro;
;AGRO Rynku Pieniê¿nego;FIO;Adam Gospodarek;4.2017;;;;;;;;;;;2017;100;100;codziennie;3.5;pieniê¿ne;nie ma;;;;;;;;;;0.05;1;0;0%;;0.06;0.73;;;;;Agro;Agro
