1;Nazwa;Nazwa_IZFiA;Nazwa.2;Oplaty_biezace;Forma_prawna;TFI;Zarzadzajacy1;Od_kiedy1;Zarzadzajacy2;Od_kiedy2;Zarzadzajacy3;Od_kiedy3;Zarzadzajacy4;Od_kiedy4;Zarzadzajacy5;Od_kiedy5;Data_utworzenia;Pierwsza_wplata;Nastepna_wplata;Wycena;Aktywa;Lokalizacja;Profil;Benchmark;OZZ;OZN;OZU;OZW;TER;
1004;AGIO Agresywny Spó³ek Wzrostowych;AGIO Agresywny Spó³ek Wzrostowych;Agio Globalny;5,14;SFIO;AGIO;Jakub Bentke;01.06.2018;;;;;;;;;29.12.2011;100;100;tygodniowo;23;polskie;akcji ;100% WIG;3.95;4;0;10;6.23;
1005;AGIO Akcji Ma³ych i Œrednich Spó³ek;;subfundusz Allianz Akcji Azjatyckich;5,12;SFIO;AGIO;Wojciech Juroszek;01.06.2018;;;;;;;;;09.07.2009;100;100;tygodniowo;17.9;polskie;akcji ;70% mWIG40 + 20% sWIG80 + 10% WIBID O/N;4;4;0;20;;
1001;AGIO Akcji PLUS;AGIO AKCJI PLUS;Allianz Artificial Intelligence;5,11;FIO;AGIO;Wojciech Juroszek;01.06.2018;;;;;;;;;18.02.2016;100;100;codziennie;23.1;polskie;akcji ;fundusz nie posiada benchmarku;4;4;0;10;5.88;
1006;AGIO Kapita³;Agio Kapita³;Subfundusz Allianz Pieniê¿ny Globalny;1,50;SFIO;AGIO;Zbigniew Kowalczyk;01.05.2015;;;;;;;;;09.07.2009;167500;5000;tygodniowo;430.1;polskie;d³u¿ne ;fundusz nie posiada benchmarku;1.3;0.5;0;20;1.61;
1002;AGIO Kapita³ PLUS;AGIO Kapita³ PLUS;;1,75;FIO;AGIO;Zbigniew Kowalczyk;01.04.2017;;;;;;;;;23.04.2012;100;100;codziennie;121.4;polskie;d³u¿ne ;fundusz nie posiada benchmarku;1.3;0.5;0;10;2.06;
1003;AGIO Pieniê¿ny PLUS;;Amundi Subfundusz Akcji Ma³ych i Œrednich Spó³ek;3,49;FIO;AGIO;Zbigniew Kowalczyk;01.06.2018;;;;;;;;;18.02.2016;100;100;codziennie;11.9;polskie;gotówkowe i pieniê¿ne ;fundusz nie posiada benchmarku;0.5;0.5;0;10;;
1007;AGIO Stabilny PLUS;;Amundi Subfundusz Akcyjny;4,38;FIO;AGIO;Wojciech Juroszek;01.02.2016;Zbigniew Kowalczyk;01.04.2016;;;;;;;18.02.2016;100;100;codziennie;17.2;zagraniczne;mieszane polskie;fundusz nie posiada benchmarku;2.75;2;0;10;4.65;
NA;AGRO Obligacji;;Amundi Subfundusz Globalnych Perspektyw;1,36;FIO;AGRO;Adam Gospodarek;01.04.2017;;;;;;;;;10.04.2017;100;100;codziennie;0.2;polskie;d³u¿ne ;fundusz nie posiada benchmarku;1.2;1.25;0;0;0.5;
NA;AGRO Rynku Pieniê¿nego;;Amundi Subfundusz Obligacji;0,78;FIO;AGRO;Adam Gospodarek;01.04.2017;;;;;;;;;10.04.2017;100;100;codziennie;3.5;polskie;gotówkowe i pieniê¿ne ;fundusz nie posiada benchmarku;0.7;1;0;0;0.06;
NA;AGRO Strategii Gie³dowych;;;3,74;FIO;AGRO;Marek G³ód;01.04.2017;;;;;;;;;10.04.2017;100;100;codziennie;0.2;zagraniczne;mieszane ;fundusz nie posiada benchmarku;3.5;3.5;0;0;0.99;
