"","Nazwa","Nazwa_IZFiA","OB","TFI","Data_utworzenia","PW","NW","Aktywa","Profil","OZZ","OZN","OZU","OZW","TER","mean_daily_log_rr","std_daily_log_rr","var_5","var_95","es","eg","yearly_rr","yearly_std","Lokalizacja","Rok","sr","Wiek","Name_time"
"1","AGIO Agresywny Spó³ek Wzrostowych","AGIO Agresywny Spó³ek Wzrostowych",5.11,"AGIO","2011-12-29",100,100,"30.1","akcji",3.95,"4",0,"10","6.01",NA,NA,NA,NA,NA,NA,NA,NA,"polskie","2017",NA,6.62648401826484,"AGIO Agresywny Spó³ek Wzrostowych2017"
"2","AGIO Akcji PLUS","AGIO AKCJI PLUS",3.9,"AGIO","2016-02-18",100,100,"13.4","akcji",4,"4",0,"10","2.27","0.001461434","0.007792172",NA,NA,NA,NA,"0.315669709","1.690901396","polskie","2017",0.177816228498755,2.48401826484018,"AGIO Akcji PLUS2017"
"3","AGIO Kapita³","Agio Kapita³",1.59,"AGIO","2009-07-09",160000,5000,"334.4","d³u¿ne",1.5,"1",0,"20","1.61",NA,NA,NA,NA,NA,NA,NA,NA,"polskie","2017",NA,9.10057077625571,"AGIO Kapita³2017"
"4","AGIO Kapita³ PLUS","AGIO Kapita³ PLUS",1.8,"AGIO","2012-04-23",100,100,"132.8","d³u¿ne",1.6,"1",0,"10","1.9","6.23564E-05","0.000394192",NA,NA,NA,NA,"0.015589109","0.098942271","polskie","2017",0.00595406790288855,6.3087899543379,"AGIO Kapita³ PLUS2017"
"5","Alior Agresywny","Alior Agresywny",6.65,"Alior","2010-03-29",200,100,"4.9","akcji",3.5,"4",0,"10","7.35","0.00048635","0.007232319",NA,NA,NA,NA,"0.121587619","1.815312039","polskie","2017",0.0587158663139346,8.38002283105023,"Alior Agresywny2017"
"6","Alior Multi Asset","Alior Multi Asset",6.75,"Alior","2009-03-24",200,100,"3.8","mieszane",3.5,"4",0,"","7.53","8.42861E-05","0.006895737",NA,NA,NA,NA,"0.021071517","1.730829993","zagraniczne","2017",0.00350786444916893,9.39372146118721,"Alior Multi Asset2017"
"7","Alior Papierów D³u¿nych","Alior Papierów D³u¿nych",2.38,"Alior","2013-04-11",200,100,"17","d³u¿ne",1.5,"1",0,"20","2.86","-2.04661E-05","0.00115855",NA,NA,NA,NA,"-0.005116528","0.290795965","polskie","2017",-0.0691774660628458,5.34166666666667,"Alior Papierów D³u¿nych2017"
"8","Alior Pieniê¿ny","Alior Pieniê¿ny",1.22,"Alior","2016-02-24",200,100,"7.6","pieniê¿ne",0.6,"0",0,"20","0","0.000120386","0.000410176",NA,NA,NA,NA,"0.025762665","0.088187767","polskie","2017",0.122042607111256,2.4675799086758,"Alior Pieniê¿ny2017"
"9","Alior Stabilnych Spó³ek","Alior Stabilnych Spó³ek",5.28,"Alior","2009-03-24",200,100,"9.9","akcji",4,"4",0,"","5.96","0.000291418","0.008614515",NA,NA,NA,NA,"0.072854577","2.162243355","polskie","2017",0.0267567371018698,9.39372146118721,"Alior Stabilnych Spó³ek2017"
"10","Allianz PIMCO Emerging Local Bond","Allianz SFIO PIMCO Emerging Local Bond",2.8,"Allianz","2016-07-08",500,100,"22.3","d³u¿ne",1.55,"3",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,"zagraniczne","2017",NA,2.09783105022831,"Allianz PIMCO Emerging Local Bond2017"
"11","Allianz PIMCO Emerging Markets Bond","Allianz SFIO PIMCO Emerging Markets Bond",1.6,"Allianz","2016-07-08",500,100,"28.6","d³u¿ne",1.55,"3",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,"zagraniczne","2017",NA,2.09783105022831,"Allianz PIMCO Emerging Markets Bond2017"
"12","Allianz PIMCO Global Bond","Allianz SFIO PIMCO Global Bond",2.4,"Allianz","2016-07-08",500,100,"6.8","d³u¿ne",1.55,"3",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,"zagraniczne","2017",NA,2.09783105022831,"Allianz PIMCO Global Bond2017"
"13","Allianz PIMCO Global High Yield Bond","Allianz SFIO PIMCO Global High Yield Bond",1.58,"Allianz","2016-07-08",500,100,"72.3","d³u¿ne",1.55,"3",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,"zagraniczne","2017",NA,2.09783105022831,"Allianz PIMCO Global High Yield Bond2017"
"14","Allianz PIMCO Global Investment Grade Credit","Allianz SFIO PIMCO Global Investment Grade Credit",1.49,"Allianz","2016-07-08",500,100,"6.3","d³u¿ne",1.55,"3",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,"zagraniczne","2017",NA,2.09783105022831,"Allianz PIMCO Global Investment Grade Credit2017"
"15","Allianz PIMCO Income","Allianz SFIO PIMCO Income",1.75,"Allianz","2016-07-08",500,100,"97.4","d³u¿ne",1.55,"3",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,"zagraniczne","2017",NA,2.09783105022831,"Allianz PIMCO Income2017"
"16","ALTUS Absolutnej Stopy Zwrotu Rynku Polskiego","Altus FIO Parasolowy Subfundusz Absolutnej Stopy Zwotu Rynku Polskiego",3.25,"Altus","2012-09-28",1000,100,"290.2","absolutnej stopy zwrotu",3.6,"4",0,"20","3.87","0.000250274","0.002661674","-0.005250764","1.312691094","2.46182E-05","0.012473649","0.062318301","0.665418494","zagraniczne","2017",0.0711105889401385,5.87591324200913,"ALTUS Absolutnej Stopy Zwrotu Rynku Polskiego2017"
"17","ALTUS Absolutnej Stopy Zwrotu D³u¿ny","Altus FIO Parasolowy Subfundusz Absolutnej Stopy Zwrotu D³u¿ny",1.53,"Altus","2012-09-28",1000,100,"470.6","absolutnej stopy zwrotu",1.5,"2",0,"20","1.64","0.000193179","0.001559832","-0.002880475","0.720118689","-1.06992E-05","-0.000336929","0.048101499","0.38995804","zagraniczne","2017",0.0848847711923057,5.87591324200913,"ALTUS Absolutnej Stopy Zwrotu D³u¿ny2017"
"18","ALTUS Absolutnej Stopy Zwrotu Nowej Europy","Altus FIO Parasolowy Subfundusz Absolutnej Stopy Zwrotu Nowej Europy",3.88,"Altus","2014-04-14",1000,100,"56.8","absolutnej stopy zwrotu",2.8,"4",0,"20","4.1","0.000165909","0.003032242","-0.005046879","1.261719665","2.46544E-05","0.0323939","0.041311307","0.758060531","zagraniczne","2017",0.0347087151012747,4.33344748858447,"ALTUS Absolutnej Stopy Zwrotu Nowej Europy2017"
"19","ALTUS Akcji","Altus FIO Parasolowy Subfundusz Akcji",3.3,"Altus","2012-09-28",1000,100,"53","akcji",3.6,"4",0,"20","4.07","0.00045181","0.007018771","-0.012829316","3.207328988","-0.000175708","0.051650565","0.112500671","1.754692693","polskie","2017",0.0555656676459415,5.87591324200913,"ALTUS Akcji2017"
"20","ALTUS Aktywnego Zarz¹dzania","Altus FIO Parasolowy Subfundusz Aktywnego Zarz¹dzania",3.71,"Altus","2013-08-30",1000,100,"14.1","mieszane",3.25,"3",0,"20","4.48","0.000232751","0.003589845","-0.0072144","1.803600033","-8.17386E-06","0.005928656","0.057955083","0.89746115","zagraniczne","2017",0.0478628885495489,4.95536529680365,"ALTUS Aktywnego Zarz¹dzania2017"
"21","ALTUS Optymalnego Wzrostu","Altus FIO Parasolowy Subfundusz Optymalnego Wzrostu",3.02,"Altus","2014-04-14",1000,100,"19.6","absolutnej stopy zwrotu",2.8,"3",0,"20","3.49","2.95931E-05","0.002584485","-0.003816873","0.954218138","4.15288E-05","0.019677291","0.007368694","0.646121145","zagraniczne","2017",-0.011810952263449,4.33344748858447,"ALTUS Optymalnego Wzrostu2017"
"22","ALTUS Pieniê¿ny","Altus FIO Parasolowy Subfundusz Pieniê¿ny",1.08,"Altus","2013-11-22",1000,100,"178.1","pieniê¿ne",0.95,"0",0,"20","1.13","9.43047E-05","0.000731485","-0.001059211","0.264802707","3.63813E-05","0.010629852","0.023481872","0.182871371","polskie","2017",0.0463816285382363,4.72511415525114,"ALTUS Pieniê¿ny2017"
"23","ALTUS Short","Altus FIO Parasolowy Subfundusz Short",3.57,"Altus","2012-09-28",1000,100,"9.3","akcji",3.6,"4",0,"20","3.74","-0.000366702","0.008720055","-0.014042542","3.510635515","0.000673286","0.189287937","-0.091308762","2.180013644","polskie","2017",-0.0487651819485585,5.87591324200913,"ALTUS Short2017"
"24","ALTUS Stabilnego Wzrostu","Altus FIO Parasolowy Subfundusz Stabilnego Wzrostu",3.45,"Altus","2013-05-31",1000,100,"16.9","mieszane",2.8,"3",0,"20","3.35","0.000109507","0.002395857","-0.004422211","1.105552666","2.6613E-05","-0.005120899","0.027267126","0.598964203","zagraniczne","2017",0.0204805661816821,5.2046803652968,"ALTUS Stabilnego Wzrostu2017"
"25","Amundi P³ynnoœciowy","Amundi Subfundusz P³ynnoœciowy",0.55,"Amundi","2014-03-05",500,100,"432.8","pieniê¿ne",0.3,"5",0,"","0.55","5.1005E-05","0.000181435","-0.00046293","0.11619553","5.58327E-05","0.01429548","0.012751239","0.045540068","polskie","2017",-0.0493798340397735,4.44292237442922,"Amundi P³ynnoœciowy2017"
"26","Arka BZ WBK Akcji Polskich","Arka BZ WBK Akcji Polskich Subfundusz",4.03,"Arka BZ WBK","1998-04-02",1000,500,"1159.9","akcji",4,"3",1,"","3.78","0.000406428","0.008656238","-0.015160585","3.805306881","-0.000582312","-0.116304408","0.101606886","2.172715746","polskie","2017",0.0398611213452309,20.3771689497717,"Arka BZ WBK Akcji Polskich2017"
"27","Arka BZ WBK Akcji Œrodkowej i Wschodniej Europy","Arka BZ WBK Akcji Œrodkowej i Wschodniej Europy Subfundusz",4.25,"Arka BZ WBK","2006-12-27",1000,500,"181.4","akcji",4,"3",1,"","4.39","0.000332768","0.009858535","-0.017780798","4.462980404","-0.000735591","-0.139473194","0.083191912","2.474492227","zagraniczne","2017",0.0275579414863121,11.634703196347,"Arka BZ WBK Akcji Œrodkowej i Wschodniej Europy2017"
"28","Arka BZ WBK Akcji Tureckich","Arka BZ WBK Akcji Tureckich Subfundusz",4.27,"Arka BZ WBK","2007-10-29",1000,500,"144","akcji",4,"3",1,"","4.57","0.00017151","0.015104361","-0.028634614","7.187288025","-0.001349899","-0.336046652","0.04287754","3.791194578","zagraniczne","2017",0.00735323377010801,10.7964611872146,"Arka BZ WBK Akcji Tureckich2017"
"29","Arka BZ WBK Gotówkowy","Arka BZ WBK Gotówkowy Subfundusz",1.01,"Arka BZ WBK","1998-04-02",1000,500,"1725.9","pieniê¿ne",1,"3",1,"","0.93","4.51518E-05","0.000359192","-0.000614683","0.154285404","4.74153E-05","0.013143397","0.01128796","0.090157217","polskie","2017",-0.0411729656650781,20.3771689497717,"Arka BZ WBK Gotówkowy2017"
"30","Arka BZ WBK Obligacji Europejskich","Arka BZ WBK Obligacji Europejskich Subfundusz",1.65,"Arka BZ WBK","2003-08-18",1000,500,"100.3","d³u¿ne",1.6,"3",1,"","1.54","0.000133271","0.004041066","-0.006537421","1.640892552","-9.8345E-05","0.015290533","0.033317838","1.014307581","zagraniczne","2017",0.0180594509428201,14.9964611872146,"Arka BZ WBK Obligacji Europejskich2017"
"31","Arka BZ WBK Obligacji Korporacyjnych","Arka BZ WBK Obligacji Korporacyjnych Subfundusz",1.82,"Arka BZ WBK","2012-02-10",1000,500,"2501.9","d³u¿ne",1.9,"3",1,"","1.7","0.000122034","0.000769834","-0.00104996","0.263539915","3.60611E-05","0.007368275","0.030508568","0.19322827","polskie","2017",0.0802603469978798,6.50867579908676,"Arka BZ WBK Obligacji Korporacyjnych2017"
"32","Arka BZ WBK Obligacji Skarbowych","Arka BZ WBK Obligacji Skarbowych Subfundusz",1.71,"Arka BZ WBK","2002-08-20",1000,500,"968.1","d³u¿ne",1.7,"3",1,"","1.65","-4.0453E-05","0.001863525","-0.00278195","0.698269397","-3.68321E-05","0.009120515","-0.010113257","0.467744806","polskie","2017",-0.0536900820230594,15.9909817351598,"Arka BZ WBK Obligacji Skarbowych2017"
"33","Arka BZ WBK Stabilnego Wzrostu","Arka BZ WBK Stabilnego Wzrostu Subfundusz",2.93,"Arka BZ WBK","1999-11-25",1000,500,"846","mieszane",2.9,"3",1,"","2.6","9.59343E-05","0.003641621","-0.006179268","1.550996279","-0.000221231","-0.045493467","0.023983585","0.914046879","zagraniczne","2017",0.00982836351875996,18.7278538812785,"Arka BZ WBK Stabilnego Wzrostu2017"
"34","Arka BZ WBK Zrównowa¿ony","Arka BZ WBK Zrównowa¿ony Subfundusz",3.43,"Arka BZ WBK","1998-04-02",1000,500,"1030.3","mieszane",3.4,"3",1,"","3.17","0.000204881","0.005469495","-0.009516375","2.388610196","-0.00033306","-0.086475523","0.051220299","1.372843316","zagraniczne","2017",0.0263834179602765,20.3771689497717,"Arka BZ WBK Zrównowa¿ony2017"
"35","Arka Platinum Dynamiczny","Arka Platinum Dynamiczny",3.41,"Arka BZ WBK","2007-12-27",1000,500,"70.4","mieszane",2.8,"3",1,"","2.76","0.000181781","0.004719652","-0.009349643","2.346760337","-0.000108168","-0.036552025","0.045445249","1.184632582","zagraniczne","2017",0.0257001617738723,10.634703196347,"Arka Platinum Dynamiczny2017"
