"","Nazwa_IZFiA","OZZ17","TER17","OB17","Profil17","PW17","NW17","Aktywa17","OZN17","OZU17","OZW17","OZZ18","OZN18","OZU18","OZW18","TER18","OB18","Profil18","PW18","NW18","Aktywa18","TFI","Lokalizacja","mean_daily_log_rr_16","std_daily_log_rr_16","var16_5","var16_95","es16","eg16","mean_daily_log_rr_17","std_daily_log_rr_17","var17_5","var17_95","es17","eg17","Data_utworzenia","yearly_rr_17","yearly_rr_16","yearly_std_16","yearly_std_17","zm.akt.17.18.proc","zm.akt.17.18.flow.proc","sr16","sr17","Wiek"
"1","AGIO Agresywny Spó³ek Wzrostowych","3.95","6.01","5.11","akcji",100,100,3.40452517175483,"4",0,"10",3.95,4,0,10,6.23,"5.14","akcji ",100,100,3.13549421592915,"AGIO","polskie",NA,NA,NA,NA,NA,NA,"0.000888573","0.017172162","-0.048654102","1.624626167","-0.032526785","0.273612707",2011-12-29,"0.045317211",NA,NA,"0.892952411",-0.235880398671096,-0.281197609671096,NA,0.0350715341760805,6.62465753424657
"2","AGIO AKCJI PLUS","4","2.27","3.9","akcji",100,100,2.59525470695687,"4",0,"10",4,4,0,10,5.88,"5.11","akcji ",100,100,3.13983261752775,"AGIO","polskie","0.001461434","0.007792172",NA,NA,NA,NA,"0.000365402","0.006201428","-0.013377003","2.701336092","0.00174824","0.450661314",2016-02-18,"0.090619666","0.315669709","1.690901396","1.544155594",0.723880597014925,0.633260931014925,0.177816228498755,0.0496191357255155,2.48219178082192
"3","Agio Kapita³","1.5","1.61","1.59","d³u¿ne",160000,5000,5.81233788121055,"1",0,"20",1.3,0.5,0,20,1.61,"1.5","d³u¿ne ",167500,5000,6.06401773978969,"AGIO","polskie",NA,NA,NA,NA,NA,NA,"0.00071696","0.000581401","-0.000605459","0.056868387","0.000439026","0.017436093",2009-07-09,"0.036564985",NA,NA,"0.030232838",0.286184210526316,0.249619225526316,NA,0.746373363956106,9.0986301369863
"4","AGIO Kapita³ PLUS","1.6","1.9","1.8","d³u¿ne",100,100,4.88884423704233,"1",0,"10",1.3,0.5,0,10,2.06,"1.75","d³u¿ne ",100,100,4.7990908786254,"AGIO","polskie","6.23564E-05","0.000394192",NA,NA,NA,NA,"0.000127236","0.000365931","-0.000435484","0.175276282","6.90197E-05","0.015130714",2012-04-23,"0.031427397","0.015589109","0.098942271","0.090750828",-0.0858433734939759,-0.117270770493976,0.00595406790288855,0.192035680379688,6.30684931506849
"5","Alior Agresywny","3.5","7.35","6.65","akcji",200,100,1.58923520511658,"4",0,"20",3,3,0,20,7.29,"7.28","akcji ",200,100,1.33500106673234,"Alior","polskie","0.00048635","0.007232319",NA,NA,NA,NA,"-2.68946E-05","0.004814266","-0.0138444","2.326815087","0.000331865","0.101617953",2010-03-29,"-0.006669868","0.121587619","1.815312039","1.198752235",-0.224489795918367,-0.217819927918367,0.0587158663139346,-0.0172428191552027,8.37808219178082
"6","Alior Multi Asset","3.5","7.53","6.75","mieszane",200,100,1.33500106673234,"4",0,"0",2.5,4,0,0,7.29,"7.28","mieszane",200,100,1.93152141160321,"Alior","zagraniczne","8.42861E-05","0.006895737",NA,NA,NA,NA,"0.000123265","0.003022211","-0.013741203","1.902031855","-0.00037293","-0.023458475",2009-03-24,"0.030569761","0.021071517","1.730829993","0.752530624",0.815789473684211,0.785219712684211,0.00350786444916893,0.0220187198654124,9.39178082191781
"7","Alior Papierów D³u¿nych","1.5","2.86","2.38","d³u¿ne",200,100,2.83321334405622,"1",0,"20",1.2,0.5,0,20,3.21,"3.21","d³u¿ne ",200,100,2.19722457733622,"Alior","polskie","-2.04661E-05","0.00115855",NA,NA,NA,NA,"0.000130287","0.001185127","-0.001843839","0.547907015","-2.05131E-05","-0.003682816",2013-04-11,"0.032311209","-0.005116528","0.290795965","0.295096604",-0.470588235294118,-0.502899444294118,-0.0691774660628458,0.0620515748124299,5.33972602739726
"8","Alior Pieniê¿ny","0.6","0","1.22","pieniê¿ne",200,100,2.02814824729229,"0",0,"20",0.6,0.3,0,20,1.43,"1","gotówkowe i pieniê¿ne ",200,100,4.07584109065754,"Alior","polskie","0.000120386","0.000410176",NA,NA,NA,NA,"0.000138298","0.000478345","-0.000660342","0.203424353","0.000128538","0.029761624",2016-02-24,"0.034297834","0.025762665","0.088187767","0.119108",6.75,6.715702166,0.122042607111256,0.170415370923867,2.46575342465753
"9","Alior Stabilnych Spó³ek","4","5.96","5.28","akcji",200,100,2.29253475714054,"4",0,"0",3,3,0,0,6.37,"6.37","akcji ",200,100,1.58923520511658,"Alior","polskie","0.000291418","0.008614515",NA,NA,NA,NA,"0.000281189","0.006066447","-0.016722706","2.88208725","0.000178754","0.064594419",2009-03-24,"0.069734843","0.072854577","2.162243355","1.510545357",-0.505050505050505,-0.574785348050505,0.0267567371018698,0.0368971661405067,9.39178082191781
"10","Allianz SFIO PIMCO Emerging Local Bond","1.55","","2.8","d³u¿ne",500,100,3.10458667846607,"3",0,"0",1.55,2.5,0,0,1.73,"1.72","d³u¿ne ",500,100,3.87535902105655,"Allianz","zagraniczne",NA,NA,NA,NA,NA,NA,"0.000421184","0.004381279","-0.008334938","2.147350003","-0.000800751","-0.148267841",2016-07-08,"0.105295956",NA,NA,"1.099701117",1.16143497757848,1.05613902157848,NA,0.0830188808474221,2.0958904109589
"11","Allianz SFIO PIMCO Emerging Markets Bond","1.55","","1.6","d³u¿ne",500,100,3.35340671782581,"3",0,"0",1.55,2.5,0,0,1.7,"1.7","d³u¿ne ",500,100,4.31882055877009,"Allianz","zagraniczne",NA,NA,NA,NA,NA,NA,"0.000301522","0.001766467","-0.005077354","1.092809502","-3.18717E-05","0.007412621",2016-07-08,"0.075380476",NA,NA,"0.443383249",1.62587412587413,1.55049364987413,NA,0.13843661468591,2.0958904109589
"12","Allianz SFIO PIMCO Global Bond","1.55","","2.4","d³u¿ne",500,100,1.91692261218206,"3",0,"0",1.05,2.5,0,0,1.7,"1.7","d³u¿ne ",500,100,2.29253475714054,"Allianz","zagraniczne",NA,NA,NA,NA,NA,NA,"0.000105942","0.001114809","-0.001833625","0.515826709","-0.000131918","-0.040223238",2016-07-08,"0.026485612",NA,NA,"0.27981717",0.455882352941177,0.429396740941177,NA,0.044620607091409,2.0958904109589
