name;mean_daily_log_rr_16;yearly_rr_16;std_daily_log_rr_16;yearly_std_16;var16_5;var16_95;es16;eg16;mean_daily_log_rr_17;yearly_rr_17;std_daily_log_rr_17;yearly_std_17;var17_5;var17_95;es17;eg17
1001;0.001461434;0.315669709;0.007792172;1.690901396;NA;NA;NA;NA;0.000365402;0.090619666;0.006201428;1.544155594;-0.013377003;2.701336092;0.00174824;0.450661314
1002;6.23564E-05;0.015589109;0.000394192;0.098942271;NA;NA;NA;NA;0.000127236;0.031427397;0.000365931;0.090750828;-0.000435484;0.175276282;6.90197E-05;0.015130714
1003;-6.04681E-06;-0.001300065;0.000598671;0.12931288;NA;NA;NA;NA;4.47611E-05;0.011145503;0.000492909;0.123227342;-0.000677579;0.24631612;8.93197E-06;0.001723516
1004;NA;NA;NA;NA;NA;NA;NA;NA;0.000888573;0.045317211;0.017172162;0.892952411;-0.048654102;1.624626167;-0.032526785;0.273612707
1005;NA;NA;NA;NA;NA;NA;NA;NA;-4.32324E-05;-0.002204854;0.010647081;0.55364819;-0.027305829;1.011843246;0.002236425;0.129809141
1006;NA;NA;NA;NA;NA;NA;NA;NA;0.00071696;0.036564985;0.000581401;0.030232838;-0.000605459;0.056868387;0.000439026;0.017436093
1007;0.000125972;0.027209881;0.001603626;0.34798686;NA;NA;NA;NA;0.00010514;0.026179757;0.001327551;0.331887704;-0.002369591;0.626407373;0.000166868;0.033343026
1008;0.00048635;0.121587619;0.007232319;1.815312039;NA;NA;NA;NA;-2.68946E-05;-0.006669868;0.004814266;1.198752235;-0.0138444;2.326815087;0.000331865;0.101617953
1009;8.42861E-05;0.021071517;0.006895737;1.730829993;NA;NA;NA;NA;0.000123265;0.030569761;0.003022211;0.752530624;-0.013741203;1.902031855;-0.00037293;-0.023458475
1010;NA;NA;NA;NA;NA;NA;NA;NA;0.000221044;0.054818894;0.001671672;0.416246313;-0.002539746;0.746079405;1.17248E-05;0.005300309
1011;-2.04661E-05;-0.005116528;0.00115855;0.290795965;NA;NA;NA;NA;0.000130287;0.032311209;0.001185127;0.295096604;-0.001843839;0.547907015;-2.05131E-05;-0.003682816
1012;0.000120386;0.025762665;0.000410176;0.088187767;NA;NA;NA;NA;0.000138298;0.034297834;0.000478345;0.119108;-0.000660342;0.203424353;0.000128538;0.029761624
1013;0.000291418;0.072854577;0.008614515;2.162243355;NA;NA;NA;NA;0.000281189;0.069734843;0.006066447;1.510545357;-0.016722706;2.88208725;0.000178754;0.064594419
1014;NA;NA;NA;NA;NA;NA;NA;NA;0.000144328;0.010247316;0.000827333;0.059567945;NA;NA;NA;NA
1015;NA;NA;NA;NA;NA;NA;NA;NA;0.000186089;0.013212331;0.001020324;0.073463345;NA;NA;NA;NA
1016;NA;NA;NA;NA;NA;NA;NA;NA;0.000120609;0.008563231;0.000432894;0.031168363;NA;NA;NA;NA
1017;NA;NA;NA;NA;NA;NA;NA;NA;0.000158262;0.011236632;0.000722695;0.052034058;NA;NA;NA;NA
